name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,category,id
Band Hip Adductions,legs,beginner,isolation,bands,['adductors'],[],strength,Band_Hip_Adductions
Band Pull Apart,pull,beginner,isolation,bands,['shoulders'],"['middle back', 'traps']",strength,Band_Pull_Apart
Band Skull Crusher,push,beginner,isolation,bands,['triceps'],[],strength,Band_Skull_Crusher
Barbell Ab Rollout,pull,intermediate,compound,barbell,['abdominals'],"['lower back', 'shoulders']",strength,Barbell_Ab_Rollout
Barbell Ab Rollout - On Knees,pull,expert,compound,barbell,['abdominals'],"['lower back', 'shoulders']",strength,Barbell_Ab_Rollout_-_On_Knees
Barbell Bench Press - Medium Grip,push,beginner,compound,barbell,['chest'],"['shoulders', 'triceps']",strength,Barbell_Bench_Press_-_Medium_Grip
Barbell Curl,pull,beginner,isolation,barbell,['biceps'],['forearms'],strength,Barbell_Curl
Barbell Curls Lying Against An Incline,pull,beginner,isolation,barbell,['biceps'],[],strength,Barbell_Curls_Lying_Against_An_Incline
Barbell Deadlift,pull,intermediate,compound,barbell,['lower back'],"['calves', 'forearms', 'glutes', 'hamstrings', 'lats', 'middle back', 'quadriceps', 'traps']",strength,Barbell_Deadlift
Barbell Full Squat,legs,intermediate,compound,barbell,['quadriceps'],"['calves', 'glutes', 'hamstrings', 'lower back']",strength,Barbell_Full_Squat
Barbell Guillotine Bench Press,push,intermediate,compound,barbell,['chest'],"['shoulders', 'triceps']",strength,Barbell_Guillotine_Bench_Press
Barbell Hack Squat,legs,intermediate,compound,barbell,['quadriceps'],"['calves', 'forearms', 'hamstrings']",strength,Barbell_Hack_Squat
Barbell Incline Bench Press - Medium Grip,push,beginner,compound,barbell,['chest'],"['shoulders', 'triceps']",strength,Barbell_Incline_Bench_Press_-_Medium_Grip
Barbell Incline Shoulder Raise,push,beginner,compound,barbell,['shoulders'],['chest'],strength,Barbell_Incline_Shoulder_Raise
Barbell Lunge,legs,intermediate,compound,barbell,['quadriceps'],"['calves', 'glutes', 'hamstrings']",strength,Barbell_Lunge
Barbell Rear Delt Row,pull,beginner,compound,barbell,['shoulders'],"['biceps', 'lats', 'middle back']",strength,Barbell_Rear_Delt_Row
Barbell Rollout from Bench,pull,intermediate,compound,barbell,['abdominals'],"['glutes', 'hamstrings', 'lats', 'shoulders']",strength,Barbell_Rollout_from_Bench
Barbell Seated Calf Raise,legs,beginner,isolation,barbell,['calves'],[],strength,Barbell_Seated_Calf_Raise
Barbell Shoulder Press,push,intermediate,compound,barbell,['shoulders'],"['chest', 'triceps']",strength,Barbell_Shoulder_Press
Barbell Shrug,pull,beginner,isolation,barbell,['traps'],[],strength,Barbell_Shrug
Barbell Shrug Behind The Back,pull,beginner,isolation,barbell,['traps'],"['forearms', 'middle back']",strength,Barbell_Shrug_Behind_The_Back
Barbell Side Bend,pull,beginner,isolation,barbell,['abdominals'],['lower back'],strength,Barbell_Side_Bend
Barbell Side Split Squat,legs,beginner,compound,barbell,['quadriceps'],"['calves', 'hamstrings', 'lower back']",strength,Barbell_Side_Split_Squat
Barbell Squat,legs,beginner,compound,barbell,['quadriceps'],"['calves', 'glutes', 'hamstrings', 'lower back']",strength,Barbell_Squat
Barbell Squat To A Bench,legs,expert,compound,barbell,['quadriceps'],"['calves', 'glutes', 'hamstrings', 'lower back']",strength,Barbell_Squat_To_A_Bench
Barbell Step Ups,legs,intermediate,compound,barbell,['quadriceps'],"['calves', 'glutes', 'hamstrings', 'quadriceps']",strength,Barbell_Step_Ups
Barbell Walking Lunge,legs,beginner,compound,barbell,['quadriceps'],"['calves', 'glutes', 'hamstrings']",strength,Barbell_Walking_Lunge
Battling Ropes,push,beginner,compound,other,['shoulders'],"['chest', 'forearms']",strength,Battling_Ropes
Bench Dips,push,beginner,compound,body only,['triceps'],"['chest', 'shoulders']",strength,Bench_Dips
Bench Press - With Bands,push,beginner,compound,bands,['chest'],"['shoulders', 'triceps']",strength,Bench_Press_-_With_Bands
Bent-Arm Barbell Pullover,pull,intermediate,compound,barbell,['lats'],"['chest', 'lats', 'shoulders', 'triceps']",strength,Bent-Arm_Barbell_Pullover
Bent-Arm Dumbbell Pullover,push,intermediate,compound,dumbbell,['chest'],"['lats', 'shoulders', 'triceps']",strength,Bent-Arm_Dumbbell_Pullover
Bent-Knee Hip Raise,pull,beginner,compound,body only,['abdominals'],[],strength,Bent-Knee_Hip_Raise
Bent Over Barbell Row,pull,beginner,compound,barbell,['middle back'],"['biceps', 'lats', 'shoulders']",strength,Bent_Over_Barbell_Row
Bent Over Dumbbell Rear Delt Raise With Head On Bench,pull,beginner,isolation,dumbbell,['shoulders'],[],strength,Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench
Bent Over Low-Pulley Side Lateral,pull,beginner,isolation,cable,['shoulders'],"['lower back', 'middle back', 'traps']",strength,Bent_Over_Low-Pulley_Side_Lateral
Bent Over One-Arm Long Bar Row,pull,beginner,compound,barbell,['middle back'],"['biceps', 'lats', 'lower back', 'traps']",strength,Bent_Over_One-Arm_Long_Bar_Row
Bent Over Two-Arm Long Bar Row,pull,intermediate,compound,barbell,['middle back'],"['biceps', 'lats']",strength,Bent_Over_Two-Arm_Long_Bar_Row
Bent Over Two-Dumbbell Row,pull,beginner,compound,dumbbell,['middle back'],"['biceps', 'lats', 'shoulders']",strength,Bent_Over_Two-Dumbbell_Row
Bent Over Two-Dumbbell Row With Palms In,pull,beginner,compound,dumbbell,['middle back'],"['biceps', 'lats']",strength,Bent_Over_Two-Dumbbell_Row_With_Palms_In
Bent Press,pull,expert,compound,kettlebells,['abdominals'],"['glutes', 'hamstrings', 'lower back', 'quadriceps', 'shoulders', 'triceps']",strength,Bent_Press
Body-Up,push,intermediate,isolation,body only,['triceps'],"['abdominals', 'forearms']",strength,Body-Up
Body Tricep Press,push,beginner,isolation,body only,['triceps'],[],strength,Body_Tricep_Press
Bodyweight Flyes,push,intermediate,isolation,e-z curl bar,['chest'],"['abdominals', 'shoulders', 'triceps']",strength,Bodyweight_Flyes
Bodyweight Mid Row,pull,intermediate,compound,other,['middle back'],"['biceps', 'lats']",strength,Bodyweight_Mid_Row
Bodyweight Squat,legs,beginner,compound,body only,['quadriceps'],"['glutes', 'hamstrings']",strength,Bodyweight_Squat
Bodyweight Walking Lunge,legs,beginner,compound,body only,['quadriceps'],"['calves', 'glutes', 'hamstrings']",strength,Bodyweight_Walking_Lunge
Bosu Ball Cable Crunch With Side Bends,pull,beginner,isolation,cable,['abdominals'],[],strength,Bosu_Ball_Cable_Crunch_With_Side_Bends
Bottoms-Up Clean From The Hang Position,pull,intermediate,compound,kettlebells,['forearms'],"['biceps', 'shoulders']",strength,Bottoms-Up_Clean_From_The_Hang_Position
Bottoms Up,pull,beginner,compound,body only,['abdominals'],[],strength,Bottoms_Up
Box Squat with Chains,legs,expert,compound,barbell,['quadriceps'],"['abductors', 'adductors', 'calves', 'glutes', 'hamstrings', 'lower back']",strength,Box_Squat_with_Chains
Bradford/Rocky Presses,push,beginner,compound,barbell,['shoulders'],['triceps'],strength,Bradford_Rocky_Presses
Butt-Ups,pull,beginner,compound,body only,['abdominals'],[],strength,Butt-Ups
Butt Lift (Bridge),legs,beginner,isolation,body only,['glutes'],['hamstrings'],strength,Butt_Lift_Bridge
Butterfly,pull,beginner,isolation,machine,['chest'],[],strength,Butterfly
Cable Chest Press,push,beginner,compound,cable,['chest'],"['shoulders', 'triceps']",strength,Cable_Chest_Press
Cable Crossover,push,beginner,isolation,cable,['chest'],['shoulders'],strength,Cable_Crossover
Cable Crunch,pull,beginner,isolation,cable,['abdominals'],[],strength,Cable_Crunch
Cable Deadlifts,legs,beginner,compound,cable,['quadriceps'],"['forearms', 'glutes', 'hamstrings', 'lower back']",strength,Cable_Deadlifts
Cable Hammer Curls - Rope Attachment,pull,beginner,isolation,cable,['biceps'],[],strength,Cable_Hammer_Curls_-_Rope_Attachment
Cable Hip Adduction,legs,beginner,isolation,cable,['quadriceps'],[],strength,Cable_Hip_Adduction
Cable Incline Pushdown,pull,beginner,isolation,cable,['lats'],[],strength,Cable_Incline_Pushdown
Cable Incline Triceps Extension,push,beginner,isolation,cable,['triceps'],[],strength,Cable_Incline_Triceps_Extension
Cable Internal Rotation,pull,beginner,compound,cable,['shoulders'],[],strength,Cable_Internal_Rotation
Cable Iron Cross,push,beginner,isolation,cable,['chest'],[],strength,Cable_Iron_Cross
Cable Judo Flip,pull,beginner,compound,cable,['abdominals'],[],strength,Cable_Judo_Flip
Cable Lying Triceps Extension,push,beginner,isolation,cable,['triceps'],[],strength,Cable_Lying_Triceps_Extension
Cable One Arm Tricep Extension,push,beginner,isolation,cable,['triceps'],[],strength,Cable_One_Arm_Tricep_Extension
Cable Preacher Curl,pull,beginner,isolation,cable,['biceps'],['forearms'],strength,Cable_Preacher_Curl
Cable Rear Delt Fly,pull,beginner,isolation,cable,['shoulders'],[],strength,Cable_Rear_Delt_Fly
Cable Reverse Crunch,pull,beginner,isolation,cable,['abdominals'],[],strength,Cable_Reverse_Crunch
Cable Rope Overhead Triceps Extension,push,beginner,isolation,cable,['triceps'],[],strength,Cable_Rope_Overhead_Triceps_Extension
Cable Rope Rear-Delt Rows,pull,beginner,compound,cable,['shoulders'],"['biceps', 'middle back']",strength,Cable_Rope_Rear-Delt_Rows
Cable Russian Twists,pull,beginner,compound,cable,['abdominals'],[],strength,Cable_Russian_Twists
Cable Seated Crunch,pull,beginner,isolation,cable,['abdominals'],[],strength,Cable_Seated_Crunch
Cable Seated Lateral Raise,pull,beginner,isolation,cable,['shoulders'],"['middle back', 'traps']",strength,Cable_Seated_Lateral_Raise
Cable Shoulder Press,push,beginner,compound,cable,['shoulders'],['triceps'],strength,Cable_Shoulder_Press
Cable Shrugs,pull,beginner,isolation,cable,['traps'],[],strength,Cable_Shrugs
Cable Wrist Curl,pull,beginner,isolation,cable,['forearms'],[],strength,Cable_Wrist_Curl
Calf-Machine Shoulder Shrug,pull,beginner,isolation,machine,['traps'],[],strength,Calf-Machine_Shoulder_Shrug
Calf Press,legs,beginner,isolation,machine,['calves'],[],strength,Calf_Press
Calf Press On The Leg Press Machine,legs,beginner,isolation,machine,['calves'],[],strength,Calf_Press_On_The_Leg_Press_Machine
Calf Raise On A Dumbbell,legs,intermediate,isolation,dumbbell,['calves'],[],strength,Calf_Raise_On_A_Dumbbell
Calf Raises - With Bands,legs,beginner,isolation,bands,['calves'],[],strength,Calf_Raises_-_With_Bands
Car Drivers,push,beginner,isolation,barbell,['shoulders'],['forearms'],strength,Car_Drivers
Chair Squat,legs,beginner,compound,machine,['quadriceps'],"['calves', 'glutes', 'hamstrings']",strength,Chair_Squat
Chin-Up,pull,beginner,compound,body only,['lats'],"['biceps', 'forearms', 'middle back']",strength,Chin-Up
Clean and Press,push,intermediate,compound,barbell,['shoulders'],"['abdominals', 'calves', 'glutes', 'hamstrings', 'lower back', 'middle back', 'quadriceps', 'shoulders', 'traps', 'triceps']",strength,Clean_and_Press
Clock Push-Up,push,intermediate,compound,body only,['chest'],"['shoulders', 'triceps']",strength,Clock_Push-Up
Close-Grip Barbell Bench Press,push,beginner,compound,barbell,['triceps'],"['chest', 'shoulders']",strength,Close-Grip_Barbell_Bench_Press
Close-Grip Dumbbell Press,push,beginner,compound,dumbbell,['triceps'],"['chest', 'shoulders']",strength,Close-Grip_Dumbbell_Press
Close-Grip EZ-Bar Curl with Band,pull,beginner,isolation,e-z curl bar,['biceps'],['forearms'],strength,Close-Grip_EZ-Bar_Curl_with_Band
Close-Grip EZ-Bar Press,push,beginner,compound,e-z curl bar,['triceps'],"['chest', 'shoulders']",strength,Close-Grip_EZ-Bar_Press
Close-Grip EZ Bar Curl,pull,beginner,isolation,barbell,['biceps'],['forearms'],strength,Close-Grip_EZ_Bar_Curl
Close-Grip Front Lat Pulldown,pull,beginner,compound,cable,['lats'],"['biceps', 'middle back', 'shoulders']",strength,Close-Grip_Front_Lat_Pulldown
Close-Grip Push-Up off of a Dumbbell,push,intermediate,compound,body only,['triceps'],"['abdominals', 'chest', 'shoulders']",strength,Close-Grip_Push-Up_off_of_a_Dumbbell
Close-Grip Standing Barbell Curl,pull,beginner,isolation,barbell,['biceps'],['forearms'],strength,Close-Grip_Standing_Barbell_Curl
Cocoons,pull,beginner,compound,body only,['abdominals'],[],strength,Cocoons
Concentration Curls,pull,beginner,isolation,dumbbell,['biceps'],['forearms'],strength,Concentration_Curls
Cross-Body Crunch,pull,beginner,compound,body only,['abdominals'],[],strength,Cross-Body_Crunch
Cross Body Hammer Curl,pull,beginner,isolation,dumbbell,['biceps'],['forearms'],strength,Cross_Body_Hammer_Curl
Cross Over - With Bands,push,beginner,compound,bands,['chest'],"['biceps', 'shoulders']",strength,Cross_Over_-_With_Bands
Crunch - Hands Overhead,pull,beginner,isolation,body only,['abdominals'],[],strength,Crunch_-_Hands_Overhead
Crunch - Legs On Exercise Ball,pull,beginner,isolation,body only,['abdominals'],[],strength,Crunch_-_Legs_On_Exercise_Ball
Crunches,pull,beginner,isolation,body only,['abdominals'],[],strength,Crunches
Cuban Press,push,intermediate,compound,dumbbell,['shoulders'],['traps'],strength,Cuban_Press
Dead Bug,pull,beginner,compound,body only,['abdominals'],[],strength,Dead_Bug
Decline Barbell Bench Press,push,beginner,compound,barbell,['chest'],"['shoulders', 'triceps']",strength,Decline_Barbell_Bench_Press
Decline Close-Grip Bench To Skull Crusher,push,intermediate,compound,barbell,['triceps'],"['chest', 'shoulders']",strength,Decline_Close-Grip_Bench_To_Skull_Crusher
Decline Crunch,pull,intermediate,isolation,body only,['abdominals'],[],strength,Decline_Crunch
Decline Dumbbell Bench Press,push,beginner,compound,dumbbell,['chest'],"['shoulders', 'triceps']",strength,Decline_Dumbbell_Bench_Press
Decline Dumbbell Flyes,push,beginner,compound,dumbbell,['chest'],[],strength,Decline_Dumbbell_Flyes
Decline Dumbbell Triceps Extension,push,beginner,isolation,dumbbell,['triceps'],[],strength,Decline_Dumbbell_Triceps_Extension
Decline EZ Bar Triceps Extension,push,beginner,isolation,barbell,['triceps'],[],strength,Decline_EZ_Bar_Triceps_Extension
Decline Oblique Crunch,pull,beginner,compound,body only,['abdominals'],[],strength,Decline_Oblique_Crunch
Decline Push-Up,push,beginner,compound,barbell,['chest'],"['shoulders', 'triceps']",strength,Decline_Push-Up
Decline Reverse Crunch,pull,beginner,compound,body only,['abdominals'],[],strength,Decline_Reverse_Crunch
Decline Smith Press,push,beginner,compound,machine,['chest'],"['shoulders', 'triceps']",strength,Decline_Smith_Press
Dip Machine,push,beginner,compound,machine,['triceps'],"['chest', 'shoulders']",strength,Dip_Machine
Dips - Chest Version,push,intermediate,compound,other,['chest'],"['shoulders', 'triceps']",strength,Dips_-_Chest_Version
Dips - Triceps Version,push,beginner,compound,body only,['triceps'],"['chest', 'shoulders']",strength,Dips_-_Triceps_Version
Donkey Calf Raises,legs,intermediate,isolation,other,['calves'],[],strength,Donkey_Calf_Raises
Double Kettlebell Alternating Hang Clean,legs,intermediate,compound,kettlebells,['hamstrings'],"['biceps', 'calves', 'forearms', 'glutes', 'lower back', 'quadriceps', 'traps']",strength,Double_Kettlebell_Alternating_Hang_Clean
Double Kettlebell Jerk,push,intermediate,compound,kettlebells,['shoulders'],"['calves', 'quadriceps', 'triceps']",strength,Double_Kettlebell_Jerk
Double Kettlebell Push Press,push,intermediate,compound,kettlebells,['shoulders'],"['calves', 'quadriceps', 'triceps']",strength,Double_Kettlebell_Push_Press
Double Kettlebell Snatch,pull,expert,compound,kettlebells,['shoulders'],"['glutes', 'hamstrings', 'quadriceps']",strength,Double_Kettlebell_Snatch
Downward Facing Balance,legs,intermediate,isolation,exercise ball,['glutes'],"['abdominals', 'hamstrings']",strength,Downward_Facing_Balance
Drag Curl,pull,intermediate,compound,barbell,['biceps'],['forearms'],strength,Drag_Curl
Dumbbell Alternate Bicep Curl,pull,beginner,isolation,dumbbell,['biceps'],['forearms'],strength,Dumbbell_Alternate_Bicep_Curl
Dumbbell Bench Press,push,beginner,compound,dumbbell,['chest'],"['shoulders', 'triceps']",strength,Dumbbell_Bench_Press
Dumbbell Bench Press with Neutral Grip,push,beginner,compound,dumbbell,['chest'],"['shoulders', 'triceps']",strength,Dumbbell_Bench_Press_with_Neutral_Grip
Dumbbell Bicep Curl,pull,beginner,isolation,dumbbell,['biceps'],['forearms'],strength,Dumbbell_Bicep_Curl
Dumbbell Clean,legs,intermediate,compound,dumbbell,['hamstrings'],"['calves', 'forearms', 'glutes', 'lower back', 'quadriceps', 'shoulders', 'traps']",strength,Dumbbell_Clean
Dumbbell Flyes,push,beginner,isolation,dumbbell,['chest'],[],strength,Dumbbell_Flyes
Dumbbell Incline Row,pull,beginner,compound,dumbbell,['middle back'],"['biceps', 'forearms', 'lats', 'shoulders']",strength,Dumbbell_Incline_Row
Dumbbell Incline Shoulder Raise,push,beginner,isolation,dumbbell,['shoulders'],['triceps'],strength,Dumbbell_Incline_Shoulder_Raise
Dumbbell Lunges,legs,beginner,compound,dumbbell,['quadriceps'],"['calves', 'glutes', 'hamstrings']",strength,Dumbbell_Lunges
Dumbbell Lying One-Arm Rear Lateral Raise,pull,intermediate,isolation,dumbbell,['shoulders'],['middle back'],strength,Dumbbell_Lying_One-Arm_Rear_Lateral_Raise
Dumbbell Lying Pronation,pull,intermediate,isolation,dumbbell,['forearms'],[],strength,Dumbbell_Lying_Pronation
Dumbbell Lying Rear Lateral Raise,pull,intermediate,isolation,dumbbell,['shoulders'],[],strength,Dumbbell_Lying_Rear_Lateral_Raise
Dumbbell Lying Supination,pull,intermediate,isolation,dumbbell,['forearms'],[],strength,Dumbbell_Lying_Supination
Dumbbell One-Arm Shoulder Press,push,intermediate,compound,dumbbell,['shoulders'],['triceps'],strength,Dumbbell_One-Arm_Shoulder_Press
Dumbbell One-Arm Triceps Extension,push,intermediate,isolation,dumbbell,['triceps'],[],strength,Dumbbell_One-Arm_Triceps_Extension
Dumbbell One-Arm Upright Row,pull,intermediate,compound,dumbbell,['shoulders'],"['biceps', 'traps']",strength,Dumbbell_One-Arm_Upright_Row
Dumbbell Prone Incline Curl,pull,intermediate,isolation,dumbbell,['biceps'],[],strength,Dumbbell_Prone_Incline_Curl
Dumbbell Raise,pull,beginner,compound,dumbbell,['shoulders'],['biceps'],strength,Dumbbell_Raise
Dumbbell Rear Lunge,legs,intermediate,compound,dumbbell,['quadriceps'],"['calves', 'glutes', 'hamstrings']",strength,Dumbbell_Rear_Lunge
Dumbbell Scaption,push,beginner,isolation,dumbbell,['shoulders'],['traps'],strength,Dumbbell_Scaption
Dumbbell Seated One-Leg Calf Raise,legs,beginner,isolation,dumbbell,['calves'],[],strength,Dumbbell_Seated_One-Leg_Calf_Raise
Dumbbell Shoulder Press,push,intermediate,compound,dumbbell,['shoulders'],['triceps'],strength,Dumbbell_Shoulder_Press
Dumbbell Shrug,pull,beginner,isolation,dumbbell,['traps'],[],strength,Dumbbell_Shrug
Dumbbell Side Bend,pull,beginner,isolation,dumbbell,['abdominals'],[],strength,Dumbbell_Side_Bend
Dumbbell Squat,legs,beginner,compound,dumbbell,['quadriceps'],"['calves', 'glutes', 'hamstrings', 'lower back']",strength,Dumbbell_Squat
Dumbbell Squat To A Bench,legs,intermediate,compound,dumbbell,['quadriceps'],"['calves', 'glutes', 'hamstrings', 'lower back']",strength,Dumbbell_Squat_To_A_Bench
Dumbbell Step Ups,legs,intermediate,compound,dumbbell,['quadriceps'],"['calves', 'glutes', 'hamstrings']",strength,Dumbbell_Step_Ups
Dumbbell Tricep Extension -Pronated Grip,push,beginner,isolation,dumbbell,['triceps'],[],strength,Dumbbell_Tricep_Extension_-Pronated_Grip
EZ-Bar Curl,pull,beginner,isolation,e-z curl bar,['biceps'],[],strength,EZ-Bar_Curl
EZ-Bar Skullcrusher,push,beginner,isolation,e-z curl bar,['triceps'],['forearms'],strength,EZ-Bar_Skullcrusher
Elbow to Knee,pull,beginner,compound,body only,['abdominals'],[],strength,Elbow_to_Knee
Elevated Back Lunge,legs,intermediate,compound,barbell,['quadriceps'],"['glutes', 'hamstrings']",strength,Elevated_Back_Lunge
Elevated Cable Rows,pull,intermediate,compound,cable,['lats'],"['middle back', 'traps']",strength,Elevated_Cable_Rows
Exercise Ball Crunch,pull,beginner,isolation,exercise ball,['abdominals'],[],strength,Exercise_Ball_Crunch
Exercise Ball Pull-In,pull,beginner,compound,exercise ball,['abdominals'],[],strength,Exercise_Ball_Pull-In
Extended Range One-Arm Kettlebell Floor Press,push,beginner,compound,kettlebells,['chest'],"['shoulders', 'triceps']",strength,Extended_Range_One-Arm_Kettlebell_Floor_Press
External Rotation,pull,beginner,isolation,dumbbell,['shoulders'],[],strength,External_Rotation
External Rotation with Band,pull,beginner,compound,bands,['shoulders'],[],strength,External_Rotation_with_Band
External Rotation with Cable,pull,beginner,isolation,cable,['shoulders'],[],strength,External_Rotation_with_Cable
Face Pull,pull,intermediate,compound,cable,['shoulders'],['middle back'],strength,Face_Pull
Finger Curls,pull,beginner,isolation,barbell,['forearms'],[],strength,Finger_Curls
Flat Bench Cable Flyes,push,intermediate,isolation,cable,['chest'],[],strength,Flat_Bench_Cable_Flyes
Flat Bench Leg Pull-In,pull,beginner,compound,body only,['abdominals'],[],strength,Flat_Bench_Leg_Pull-In
Flat Bench Lying Leg Raise,pull,beginner,isolation,body only,['abdominals'],[],strength,Flat_Bench_Lying_Leg_Raise
Flexor Incline Dumbbell Curls,pull,beginner,isolation,dumbbell,['biceps'],[],strength,Flexor_Incline_Dumbbell_Curls
Floor Glute-Ham Raise,legs,intermediate,isolation,body only,['hamstrings'],"['calves', 'glutes']",strength,Floor_Glute-Ham_Raise
Flutter Kicks,legs,beginner,compound,body only,['glutes'],['hamstrings'],strength,Flutter_Kicks
Freehand Jump Squat,legs,intermediate,compound,body only,['quadriceps'],"['calves', 'glutes', 'hamstrings']",strength,Freehand_Jump_Squat
Frog Sit-Ups,pull,intermediate,isolation,body only,['abdominals'],[],strength,Frog_Sit-Ups
Front Barbell Squat,legs,expert,compound,barbell,['quadriceps'],"['calves', 'glutes', 'hamstrings']",strength,Front_Barbell_Squat
Front Barbell Squat To A Bench,legs,expert,compound,barbell,['quadriceps'],"['calves', 'glutes', 'hamstrings']",strength,Front_Barbell_Squat_To_A_Bench
Front Cable Raise,push,beginner,isolation,cable,['shoulders'],[],strength,Front_Cable_Raise
Front Dumbbell Raise,push,beginner,isolation,dumbbell,['shoulders'],[],strength,Front_Dumbbell_Raise
Front Incline Dumbbell Raise,push,beginner,isolation,dumbbell,['shoulders'],[],strength,Front_Incline_Dumbbell_Raise
Front Plate Raise,push,intermediate,isolation,other,['shoulders'],[],strength,Front_Plate_Raise
Front Raise And Pullover,pull,beginner,compound,barbell,['chest'],"['lats', 'shoulders', 'triceps']",strength,Front_Raise_And_Pullover
Front Squat (Clean Grip),legs,intermediate,compound,barbell,['quadriceps'],"['abdominals', 'glutes', 'hamstrings']",strength,Front_Squat_Clean_Grip
Front Squats With Two Kettlebells,legs,intermediate,compound,kettlebells,['quadriceps'],"['calves', 'glutes']",strength,Front_Squats_With_Two_Kettlebells
Front Two-Dumbbell Raise,push,beginner,isolation,dumbbell,['shoulders'],[],strength,Front_Two-Dumbbell_Raise
Full Range-Of-Motion Lat Pulldown,pull,intermediate,compound,cable,['lats'],"['biceps', 'middle back', 'shoulders']",strength,Full_Range-Of-Motion_Lat_Pulldown
Gironda Sternum Chins,pull,intermediate,compound,other,['lats'],"['biceps', 'middle back']",strength,Gironda_Sternum_Chins
Glute Kickback,legs,beginner,compound,body only,['glutes'],['hamstrings'],strength,Glute_Kickback
Goblet Squat,legs,beginner,compound,kettlebells,['quadriceps'],"['calves', 'glutes', 'hamstrings', 'shoulders']",strength,Goblet_Squat
Gorilla Chin/Crunch,pull,intermediate,compound,body only,['abdominals'],"['biceps', 'lats']",strength,Gorilla_Chin_Crunch
Hack Squat,legs,beginner,compound,machine,['quadriceps'],"['calves', 'glutes', 'hamstrings']",strength,Hack_Squat
Hammer Curls,pull,beginner,isolation,dumbbell,['biceps'],[],strength,Hammer_Curls
Hammer Grip Incline DB Bench Press,push,beginner,compound,dumbbell,['chest'],"['shoulders', 'triceps']",strength,Hammer_Grip_Incline_DB_Bench_Press
Handstand Push-Ups,push,expert,compound,body only,['shoulders'],['triceps'],strength,Handstand_Push-Ups
Hanging Leg Raise,pull,expert,isolation,body only,['abdominals'],[],strength,Hanging_Leg_Raise
Hanging Pike,pull,expert,compound,body only,['abdominals'],[],strength,Hanging_Pike
High Cable Curls,pull,intermediate,compound,cable,['biceps'],[],strength,High_Cable_Curls
Hip Extension with Bands,legs,beginner,compound,bands,['glutes'],['hamstrings'],strength,Hip_Extension_with_Bands
Hip Flexion with Band,legs,beginner,compound,bands,['quadriceps'],[],strength,Hip_Flexion_with_Band
Hyperextensions (Back Extensions),pull,beginner,isolation,other,['lower back'],"['glutes', 'hamstrings']",strength,Hyperextensions_Back_Extensions
